Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,352,Iceland,ISL,1,0,271.68
39,All cancers,356,India,IND,1,0,97.12
39,All cancers,360,Indonesia,IDN,1,0,135.46
39,All cancers,364,"Iran, Islamic Republic of",IRN,1,0,168.43
39,All cancers,368,Iraq,IRQ,1,0,131.95
39,All cancers,372,Ireland,IRL,1,0,386.31
39,All cancers,376,Israel,ISR,1,0,250.27
39,All cancers,380,Italy,ITA,1,0,312.05
39,All cancers,384,"Côte d'Ivoire",CIV,1,0,129.97
39,All cancers,388,Jamaica,JAM,1,0,202.5
39,All cancers,392,Japan,JPN,1,0,309.84
39,All cancers,398,Kazakhstan,KAZ,1,0,184.44
39,All cancers,400,Jordan,JOR,1,0,149.92
39,All cancers,404,Kenya,KEN,1,0,133.11
39,All cancers,408,"Korea, Democratic People Republic of",PRK,1,0,187.53
39,All cancers,410,"Korea, Republic of",KOR,1,0,252.52
39,All cancers,414,Kuwait,KWT,1,0,97.78
39,All cancers,417,Kyrgyzstan,KGZ,1,0,143.26
39,All cancers,418,"Lao People's Democratic Republic",LAO,1,0,167.92
39,All cancers,422,Lebanon,LBN,1,0,170.76
39,All cancers,426,Lesotho,LSO,1,0,108.12
39,All cancers,428,Latvia,LVA,1,0,363.98
39,All cancers,430,Liberia,LBR,1,0,102.86
39,All cancers,434,Libya,LBY,1,0,150.84
39,All cancers,440,Lithuania,LTU,1,0,391.3
39,All cancers,442,Luxembourg,LUX,1,0,285.83
39,All cancers,450,Madagascar,MDG,1,0,104.94
39,All cancers,454,Malawi,MWI,1,0,134.97
39,All cancers,458,Malaysia,MYS,1,0,137.86
39,All cancers,462,Maldives,MDV,1,0,107.14
39,All cancers,466,Mali,MLI,1,0,113.9
39,All cancers,470,Malta,MLT,1,0,299.75
39,All cancers,474,"France, Martinique",MTQ,1,0,266.89
39,All cancers,478,Mauritania,MRT,1,0,91.44
39,All cancers,480,Mauritius,MUS,1,0,130
39,All cancers,484,Mexico,MEX,1,0,141.3
39,All cancers,496,Mongolia,MNG,1,0,280.37
39,All cancers,498,Moldova,MDA,1,0,295.26
39,All cancers,499,Montenegro,MNE,1,0,261.9
39,All cancers,504,Morocco,MAR,1,0,150.81
39,All cancers,508,Mozambique,MOZ,1,0,115.42
39,All cancers,512,Oman,OMN,1,0,111.54
39,All cancers,516,Namibia,NAM,1,0,221.42
39,All cancers,524,Nepal,NPL,1,0,81.56
39,All cancers,528,The Netherlands,NLD,1,0,350.76
39,All cancers,540,New Caledonia,NCL,1,0,325.32
39,All cancers,548,Vanuatu,VUT,1,0,93.95
39,All cancers,554,New Zealand,NZL,1,0,473.37
39,All cancers,558,Nicaragua,NIC,1,0,136.41
39,All cancers,562,Niger,NER,1,0,74.16
39,All cancers,566,Nigeria,NGA,1,0,93.93
39,All cancers,578,Norway,NOR,1,0,383.6
39,All cancers,586,Pakistan,PAK,1,0,99.51
39,All cancers,591,Panama,PAN,1,0,158.27
39,All cancers,598,Papua New Guinea,PNG,1,0,181.73
39,All cancers,600,Paraguay,PRY,1,0,199.8
39,All cancers,604,Peru,PER,1,0,164.64
39,All cancers,608,Philippines,PHL,1,0,184.61
39,All cancers,616,Poland,POL,1,0,306.96
39,All cancers,620,Portugal,PRT,1,0,342.74
39,All cancers,624,Guinea-Bissau,GNB,1,0,87.4
39,All cancers,626,Timor-Leste,TLS,1,0,80.84
