Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,226,Equatorial Guinea,GNQ,0,0,107.72
39,All cancers,231,Ethiopia,ETH,0,0,104.49
39,All cancers,232,Eritrea,ERI,0,0,99.82
39,All cancers,233,Estonia,EST,0,0,282.49
39,All cancers,242,Fiji,FJI,0,0,174.79
39,All cancers,246,Finland,FIN,0,0,276.85
39,All cancers,250,France (metropolitan),FRA,0,0,339.02
39,All cancers,254,French Guyana,GUF,0,0,204.28
39,All cancers,258,French Polynesia,PYF,0,0,228.07
39,All cancers,262,Djibouti,DJI,0,0,90.71
39,All cancers,266,Gabon,GAB,0,0,114.38
39,All cancers,268,Georgia,GEO,0,0,197.5
39,All cancers,270,The Republic of the Gambia,GMB,0,0,79.17
39,All cancers,275,Gaza Strip and West Bank,PSE,0,0,152.25
39,All cancers,276,Germany,DEU,0,0,274.24
39,All cancers,288,Ghana,GHA,0,0,120.36
39,All cancers,300,Greece,GRC,0,0,258.66
39,All cancers,312,"France, Guadeloupe",GLP,0,0,253.9
39,All cancers,316,Guam,GUM,0,0,167.19
39,All cancers,320,Guatemala,GTM,0,0,121.77
39,All cancers,324,Guinea,GIN,0,0,116.32
39,All cancers,328,Guyana,GUY,0,0,142.49
39,All cancers,332,Haiti,HTI,0,0,141.05
39,All cancers,340,Honduras,HND,0,0,127.96
39,All cancers,348,Hungary,HUN,0,0,336.74
39,All cancers,352,Iceland,ISL,0,0,268.28
39,All cancers,356,India,IND,0,0,98.54
39,All cancers,360,Indonesia,IDN,0,0,136.93
39,All cancers,364,"Iran, Islamic Republic of",IRN,0,0,148.98
39,All cancers,368,Iraq,IRQ,0,0,136.56
39,All cancers,372,Ireland,IRL,0,0,344.7
39,All cancers,376,Israel,ISR,0,0,245.78
39,All cancers,380,Italy,ITA,0,0,284.49
39,All cancers,384,"Côte d'Ivoire",CIV,0,0,136.96
39,All cancers,388,Jamaica,JAM,0,0,199.58
39,All cancers,392,Japan,JPN,0,0,267.08
39,All cancers,398,Kazakhstan,KAZ,0,0,162.28
39,All cancers,400,Jordan,JOR,0,0,152.57
39,All cancers,404,Kenya,KEN,0,0,149.14
39,All cancers,408,"Korea, Democratic People Republic of",PRK,0,0,166.06
39,All cancers,410,"Korea, Republic of",KOR,0,0,234.7
39,All cancers,414,Kuwait,KWT,0,0,111.4
39,All cancers,417,Kyrgyzstan,KGZ,0,0,125.77
39,All cancers,418,"Lao People's Democratic Republic",LAO,0,0,154.53
39,All cancers,422,Lebanon,LBN,0,0,168.78
39,All cancers,426,Lesotho,LSO,0,0,115.54
39,All cancers,428,Latvia,LVA,0,0,288.89
39,All cancers,430,Liberia,LBR,0,0,115.21
39,All cancers,434,Libya,LBY,0,0,132.25
39,All cancers,440,Lithuania,LTU,0,0,287.93
39,All cancers,442,Luxembourg,LUX,0,0,273.31
39,All cancers,450,Madagascar,MDG,0,0,117.41
39,All cancers,454,Malawi,MWI,0,0,159.5
39,All cancers,458,Malaysia,MYS,0,0,142.13
39,All cancers,462,Maldives,MDV,0,0,105.31
39,All cancers,466,Mali,MLI,0,0,139.88
39,All cancers,470,Malta,MLT,0,0,282.52
39,All cancers,474,"France, Martinique",MTQ,0,0,224.16
39,All cancers,478,Mauritania,MRT,0,0,105.31
39,All cancers,480,Mauritius,MUS,0,0,139.99
39,All cancers,484,Mexico,MEX,0,0,140.93
39,All cancers,496,Mongolia,MNG,0,0,235.79
39,All cancers,498,Moldova,MDA,0,0,232.15
39,All cancers,499,Montenegro,MNE,0,0,237.99
39,All cancers,504,Morocco,MAR,0,0,149.83
39,All cancers,508,Mozambique,MOZ,0,0,128.75
