Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,170,Colombia,COL,2,0,175.28
39,All cancers,174,Comoros,COM,2,0,122.01
39,All cancers,178,"Congo, Republic of",COG,2,0,82.28
39,All cancers,180,"Congo, Democratic Republic of",COD,2,0,107.82
39,All cancers,188,Costa Rica,CRI,2,0,173.54
39,All cancers,191,Croatia,HRV,2,0,276.99
39,All cancers,192,Cuba,CUB,2,0,199.11
39,All cancers,196,Cyprus,CYP,2,0,300.05
39,All cancers,203,Czechia,CZE,2,0,254.94
39,All cancers,204,Benin,BEN,2,0,101.31
39,All cancers,208,Denmark,DNK,2,0,361.17
39,All cancers,214,Dominican Republic,DOM,2,0,150.47
39,All cancers,218,Ecuador,ECU,2,0,163.54
39,All cancers,222,El Salvador,SLV,2,0,128.37
39,All cancers,226,Equatorial Guinea,GNQ,2,0,128.03
39,All cancers,231,Ethiopia,ETH,2,0,131.77
39,All cancers,232,Eritrea,ERI,2,0,119.65
39,All cancers,233,Estonia,EST,2,0,237.94
39,All cancers,242,Fiji,FJI,2,0,201.05
39,All cancers,246,Finland,FIN,2,0,266.67
39,All cancers,250,France (metropolitan),FRA,2,0,300.98
39,All cancers,254,French Guyana,GUF,2,0,163.63
39,All cancers,258,French Polynesia,PYF,2,0,211.17
39,All cancers,262,Djibouti,DJI,2,0,111.28
39,All cancers,266,Gabon,GAB,2,0,134.59
39,All cancers,268,Georgia,GEO,2,0,165.52
39,All cancers,270,The Republic of the Gambia,GMB,2,0,83.12
39,All cancers,275,Gaza Strip and West Bank,PSE,2,0,142.56
39,All cancers,276,Germany,DEU,2,0,249.03
39,All cancers,288,Ghana,GHA,2,0,135.22
39,All cancers,300,Greece,GRC,2,0,231.29
39,All cancers,312,"France, Guadeloupe",GLP,2,0,184.2
39,All cancers,316,Guam,GUM,2,0,155.57
39,All cancers,320,Guatemala,GTM,2,0,124.69
39,All cancers,324,Guinea,GIN,2,0,123.95
39,All cancers,328,Guyana,GUY,2,0,157.74
39,All cancers,332,Haiti,HTI,2,0,127.77
39,All cancers,340,Honduras,HND,2,0,127.66
39,All cancers,348,Hungary,HUN,2,0,298.83
39,All cancers,352,Iceland,ISL,2,0,266.75
39,All cancers,356,India,IND,2,0,100.83
39,All cancers,360,Indonesia,IDN,2,0,141.61
39,All cancers,364,"Iran, Islamic Republic of",IRN,2,0,129.1
39,All cancers,368,Iraq,IRQ,2,0,144.07
39,All cancers,372,Ireland,IRL,2,0,307.51
39,All cancers,376,Israel,ISR,2,0,244.07
39,All cancers,380,Italy,ITA,2,0,264.13
39,All cancers,384,"Côte d'Ivoire",CIV,2,0,143.74
39,All cancers,388,Jamaica,JAM,2,0,197.4
39,All cancers,392,Japan,JPN,2,0,234.15
39,All cancers,398,Kazakhstan,KAZ,2,0,152.16
39,All cancers,400,Jordan,JOR,2,0,157.59
39,All cancers,404,Kenya,KEN,2,0,168.1
39,All cancers,408,"Korea, Democratic People Republic of",PRK,2,0,155.02
39,All cancers,410,"Korea, Republic of",KOR,2,0,228.49
39,All cancers,414,Kuwait,KWT,2,0,139.07
39,All cancers,417,Kyrgyzstan,KGZ,2,0,117.63
39,All cancers,418,"Lao People's Democratic Republic",LAO,2,0,143.92
39,All cancers,422,Lebanon,LBN,2,0,170.15
39,All cancers,426,Lesotho,LSO,2,0,130.38
39,All cancers,428,Latvia,LVA,2,0,249.37
39,All cancers,430,Liberia,LBR,2,0,128.78
39,All cancers,434,Libya,LBY,2,0,120.08
39,All cancers,440,Lithuania,LTU,2,0,224.02
39,All cancers,442,Luxembourg,LUX,2,0,267.24
39,All cancers,450,Madagascar,MDG,2,0,130.67
39,All cancers,454,Malawi,MWI,2,0,184.88
39,All cancers,458,Malaysia,MYS,2,0,148.04
39,All cancers,462,Maldives,MDV,2,0,111.26
39,All cancers,466,Mali,MLI,2,0,164.51
39,All cancers,470,Malta,MLT,2,0,271.59
39,All cancers,474,"France, Martinique",MTQ,2,0,189.49
39,All cancers,478,Mauritania,MRT,2,0,119.96
39,All cancers,480,Mauritius,MUS,2,0,152.56
39,All cancers,484,Mexico,MEX,2,0,141.8
39,All cancers,496,Mongolia,MNG,2,0,201.98
39,All cancers,498,Moldova,MDA,2,0,189.38
39,All cancers,499,Montenegro,MNE,2,0,221.08
39,All cancers,504,Morocco,MAR,2,0,150.25
39,All cancers,508,Mozambique,MOZ,2,0,141.42
39,All cancers,512,Oman,OMN,2,0,106.97
39,All cancers,516,Namibia,NAM,2,0,183.14
39,All cancers,524,Nepal,NPL,2,0,80.69
39,All cancers,528,The Netherlands,NLD,2,0,336.2
39,All cancers,540,New Caledonia,NCL,2,0,256.85
39,All cancers,548,Vanuatu,VUT,2,0,121.65
39,All cancers,554,New Zealand,NZL,2,0,386.26
39,All cancers,558,Nicaragua,NIC,2,0,133.7
39,All cancers,562,Niger,NER,2,0,92.77
39,All cancers,566,Nigeria,NGA,2,0,133.29
39,All cancers,578,Norway,NOR,2,0,337.63
39,All cancers,586,Pakistan,PAK,2,0,111.79
39,All cancers,591,Panama,PAN,2,0,154.29
39,All cancers,598,Papua New Guinea,PNG,2,0,197.83
39,All cancers,600,Paraguay,PRY,2,0,187.6
39,All cancers,604,Peru,PER,2,0,185.7
39,All cancers,608,Philippines,PHL,2,0,192.51
39,All cancers,616,Poland,POL,2,0,233.59
39,All cancers,620,Portugal,PRT,2,0,258.47
39,All cancers,624,Guinea-Bissau,GNB,2,0,112.74
39,All cancers,626,Timor-Leste,TLS,2,0,89.63
39,All cancers,630,Puerto Rico,PRI,2,0,199.74
39,All cancers,634,Qatar,QAT,2,0,119.69
39,All cancers,638,"France, La Réunion",REU,2,0,163.86
39,All cancers,642,Romania,ROU,2,0,238.09
39,All cancers,643,Russian Federation,RUS,2,0,230.8
39,All cancers,646,Rwanda,RWA,2,0,79.72
39,All cancers,662,Saint Lucia,LCA,2,0,136.58
39,All cancers,678,Sao Tome and Principe,STP,2,0,90.27
39,All cancers,682,Saudi Arabia,SAU,2,0,100.35
39,All cancers,686,Senegal,SEN,2,0,126.85
39,All cancers,688,Serbia,SRB,2,0,219.64
39,All cancers,694,Sierra Leone,SLE,2,0,34.71
39,All cancers,702,Singapore,SGP,2,0,231.01
39,All cancers,703,Slovakia,SVK,2,0,238.04
39,All cancers,704,Viet Nam,VNM,2,0,132.33
39,All cancers,705,Slovenia,SVN,2,0,275.53
39,All cancers,706,Somalia,SOM,2,0,145.86
39,All cancers,710,South Africa,ZAF,2,0,190.35
39,All cancers,716,Zimbabwe,ZWE,2,0,220.53
39,All cancers,724,Spain,ESP,2,0,237.97
