Country,Both,Male,Female,Code
Poland,34.6 [27.1-42.0],40.6 [31.7-49.6],28.5 [22.6-34.5],616
Portugal,25.7 [20.6-30.9],35.2 [28.5-41.8],16.3 [12.7-19.9],620
Qatar,12.7 [9.4-16.0],22.7 [16.9-28.5],2.7 [1.8-3.5],634
Republic of Korea,30.9 [25.6-36.3],55.0 [45.6-64.3],6.9 [5.5-8.2],
Republic of Moldova,26.1 [20.5-31.6],45.9 [36.2-55.6],6.2 [4.8-7.5],498
Romania,35.3 [29.1-41.6],46.0 [38.8-53.3],24.7 [19.5-29.9],642
Russian Federation,31.6 [26.9-36.3],50.3 [43.0-57.6],13.0 [10.9-15.1],643
Rwanda,21.2 [13.7-28.7],30.1 [19.4-40.8],12.3 [8.0-16.6],646
Saint Lucia,18.3 [11.7-25.0],30.7 [19.8-41.6],5.9 [3.5-8.3],662
Samoa,36.1 [28.3-43.9],51.2 [40.5-62.0],21.0 [16.1-25.9],882
Sao Tome and Principe,7.2 [5.1-9.3],11.2 [8.1-14.3],3.2 [2.1-4.4],678
Saudi Arabia,14.3 [11.2-17.4],25.4 [20.2-30.6],3.1 [2.2-4.1],682
Senegal,12.3 [9.4-15.3],23.3 [17.8-28.8],1.3 [0.9-1.8],686
Serbia,43.7 [35.8-51.6],48.4 [39.8-57.1],38.9 [31.8-46.1],688
Seychelles,27.6 [20.2-35.0],41.4 [31.0-51.7],13.8 [9.3-18.2],690
Sierra Leone,31.0 [23.1-38.9],50.1 [38.5-61.7],12.0 [7.7-16.2],694
Singapore,16.8 [14.0-19.6],28.1 [23.6-32.6],5.5 [4.5-6.6],702
Slovakia,31.9 [24.8-38.9],41.8 [32.6-50.9],22.0 [17.0-27.0],703
Slovenia,24.3 [19.6-28.9],26.6 [21.5-31.6],22.0 [17.6-26.3],705
Solomon Islands,41.6 [31.7-51.5],58.6 [44.8-72.4],24.6 [18.6-30.5],090
South Africa,22.7 [18.3-27.1],35.2 [28.3-42.1],10.2 [8.3-12.1],710
Spain,33.3 [27.5-39.1],39.0 [32.4-45.7],27.6 [22.6-32.5],724
Sri Lanka,27.0 [21.5-32.4],47.3 [38.1-56.5],6.7 [5.0-8.4],144
Sweden,39.4 [32.4-46.5],45.1 [36.7-53.5],33.7 [28.0-39.4],752
Switzerland,27.6 [22.8-32.4],31.6 [26.2-37.1],23.6 [19.4-27.7],756
Turkiye,32.8 [27.2-38.4],49.9 [41.3-58.5],15.7 [13.1-18.2],
Thailand,24.4 [20.6-28.3],46.2 [39.0-53.4],2.7 [2.2-3.2],764
Timor-Leste,49.6 [37.6-61.5],81.2 [64.1-98.3],18.0 [11.2-24.7],626
Togo,12.7 [7.9-17.4],21.6 [13.6-29.5],3.7 [2.2-5.3],768
Tonga,32.7 [25.0-40.4],51.3 [39.1-63.4],14.1 [10.9-17.4],776
Tunisia,27.1 [21.0-33.3],50.8 [39.6-62.1],3.5 [2.4-4.5],788
Turkmenistan,11.7 [7.0-16.4],22.7 [13.6-31.8],0.6 [0.4-0.9],795
Tuvalu,44.4 [33.2-55.6],63.6 [48.1-79.2],25.2 [18.3-32.1],798
Uganda,19.3 [14.6-24.1],28.1 [21.4-34.8],10.6 [7.7-13.4],800
Ukraine,34.8 [29.1-40.4],56.1 [46.8-65.4],13.4 [11.4-15.5],804
United Arab Emirates,15.9 [10.2-21.6],28.3 [18.5-38.0],3.6 [1.9-5.2],784
United Kingdom of Great Britain and Northern Ireland,30.0 [24.9-35.0],31.4 [25.7-37.1],28.5 [24.1-32.9],826
United Republic of Tanzania,21.5 [15.5-27.5],36.8 [26.9-46.8],6.1 [4.1-8.2],834
United States of America,29.6 [24.3-34.9],35.7 [29.2-42.2],23.5 [19.5-27.6],840
Uruguay,31.3 [26.0-36.6],36.4 [30.3-42.5],26.2 [21.7-30.7],858
Uzbekistan,24.7 [15.9-33.4],47.7 [30.9-64.6],1.6 [0.9-2.2],860
Viet Nam,28.8 [23.7-34.0],53.7 [44.3-63.1],4.0 [3.2-4.8],704
Yemen,26.7 [14.4-38.9],39.3 [21.1-57.6],14.0 [7.7-20.2],887
Zambia,18.2 [14.2-22.2],29.0 [23.3-34.8],7.4 [5.2-9.5],894
Zimbabwe,18.3 [14.1-22.5],32.9 [25.6-40.1],3.7 [2.5-4.9],716
