country,both,code,female,male
United Arab Emirates,4862,784,4862,4862
United Kingdom of Great Britain and Northern Ireland,1576,826,1576,1576
United Republic of Tanzania,5483,834,5483,5483
United States of America,2736,840,2736,2736
Uruguay,3235,858,3235,3235
Uzbekistan,3172,860,3172,3172
Vanuatu,4555,548,4555,4555
Venezuela (Bolivarian Republic of),5211,862,5211,5211
Viet Nam,4293,704,4293,4293
Yemen,6089,887,6089,6089
Zambia,5265,894,5265,5265
Zimbabwe,4918,716,4918,4918
