Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
15,"Trachea, bronchus and lung",276,Germany,DEU,2,0,21.97
15,"Trachea, bronchus and lung",288,Ghana,GHA,2,0,1.97
15,"Trachea, bronchus and lung",300,Greece,GRC,2,0,15.68
15,"Trachea, bronchus and lung",312,"France, Guadeloupe",GLP,2,0,7.17
15,"Trachea, bronchus and lung",316,Guam,GUM,2,0,19.14
15,"Trachea, bronchus and lung",320,Guatemala,GTM,2,0,3.18
15,"Trachea, bronchus and lung",324,Guinea,GIN,2,0,1.86
15,"Trachea, bronchus and lung",328,Guyana,GUY,2,0,2.39
15,"Trachea, bronchus and lung",332,Haiti,HTI,2,0,6.6
15,"Trachea, bronchus and lung",340,Honduras,HND,2,0,4.89
15,"Trachea, bronchus and lung",348,Hungary,HUN,2,0,34.96
15,"Trachea, bronchus and lung",352,Iceland,ISL,2,0,27.78
15,"Trachea, bronchus and lung",356,India,IND,2,0,3.18
15,"Trachea, bronchus and lung",360,Indonesia,IDN,2,0,6.39
15,"Trachea, bronchus and lung",364,"Iran, Islamic Republic of",IRN,2,0,7.39
15,"Trachea, bronchus and lung",368,Iraq,IRQ,2,0,3.64
15,"Trachea, bronchus and lung",372,Ireland,IRL,2,0,30.41
15,"Trachea, bronchus and lung",376,Israel,ISR,2,0,16.13
15,"Trachea, bronchus and lung",380,Italy,ITA,2,0,16.21
15,"Trachea, bronchus and lung",384,"Côte d'Ivoire",CIV,2,0,1.37
15,"Trachea, bronchus and lung",388,Jamaica,JAM,2,0,9.41
15,"Trachea, bronchus and lung",392,Japan,JPN,2,0,15.82
15,"Trachea, bronchus and lung",398,Kazakhstan,KAZ,2,0,4.51
15,"Trachea, bronchus and lung",400,Jordan,JOR,2,0,5.1
15,"Trachea, bronchus and lung",404,Kenya,KEN,2,0,3.23
15,"Trachea, bronchus and lung",408,"Korea, Democratic People Republic of",PRK,2,0,29.8
15,"Trachea, bronchus and lung",410,"Korea, Republic of",KOR,2,0,16.38
15,"Trachea, bronchus and lung",414,Kuwait,KWT,2,0,4.32
15,"Trachea, bronchus and lung",417,Kyrgyzstan,KGZ,2,0,5.74
15,"Trachea, bronchus and lung",418,"Lao People's Democratic Republic",LAO,2,0,9.12
15,"Trachea, bronchus and lung",422,Lebanon,LBN,2,0,14.25
15,"Trachea, bronchus and lung",426,Lesotho,LSO,2,0,3.71
15,"Trachea, bronchus and lung",428,Latvia,LVA,2,0,9.2
15,"Trachea, bronchus and lung",430,Liberia,LBR,2,0,1.48
15,"Trachea, bronchus and lung",434,Libya,LBY,2,0,3.2
15,"Trachea, bronchus and lung",440,Lithuania,LTU,2,0,10.38
15,"Trachea, bronchus and lung",442,Luxembourg,LUX,2,0,21.03
15,"Trachea, bronchus and lung",450,Madagascar,MDG,2,0,1.49
15,"Trachea, bronchus and lung",454,Malawi,MWI,2,0,1.02
