Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,332,Haiti,HTI,2,0,25.16
20,Breast,340,Honduras,HND,2,0,27.28
20,Breast,348,Hungary,HUN,2,0,76.38
20,Breast,352,Iceland,ISL,2,0,71.06
20,Breast,356,India,IND,2,0,26.6
20,Breast,360,Indonesia,IDN,2,0,41.78
20,Breast,364,"Iran, Islamic Republic of",IRN,2,0,30.45
20,Breast,368,Iraq,IRQ,2,0,56.91
20,Breast,372,Ireland,IRL,2,0,91.45
20,Breast,376,Israel,ISR,2,0,78.74
20,Breast,380,Italy,ITA,2,0,87.01
20,Breast,384,"Côte d'Ivoire",CIV,2,0,45.44
20,Breast,388,Jamaica,JAM,2,0,71.12
20,Breast,392,Japan,JPN,2,0,74.39
20,Breast,398,Kazakhstan,KAZ,2,0,36.94
20,Breast,400,Jordan,JOR,2,0,59.99
20,Breast,404,Kenya,KEN,2,0,40.77
20,Breast,408,"Korea, Democratic People Republic of",PRK,2,0,32.25
20,Breast,410,"Korea, Republic of",KOR,2,0,61.48
20,Breast,414,Kuwait,KWT,2,0,49.83
20,Breast,417,Kyrgyzstan,KGZ,2,0,25.31
20,Breast,418,"Lao People's Democratic Republic",LAO,2,0,31.63
20,Breast,422,Lebanon,LBN,2,0,57.89
20,Breast,426,Lesotho,LSO,2,0,18.92
20,Breast,428,Latvia,LVA,2,0,65.95
20,Breast,430,Liberia,LBR,2,0,33.57
20,Breast,434,Libya,LBY,2,0,30.98
20,Breast,440,Lithuania,LTU,2,0,62.74
20,Breast,442,Luxembourg,LUX,2,0,99.7
20,Breast,450,Madagascar,MDG,2,0,30.32
20,Breast,454,Malawi,MWI,2,0,25.19
20,Breast,458,Malaysia,MYS,2,0,46.09
20,Breast,462,Maldives,MDV,2,0,39.84
20,Breast,466,Mali,MLI,2,0,37.73
20,Breast,470,Malta,MLT,2,0,86.3
20,Breast,474,"France, Martinique",MTQ,2,0,77.16
20,Breast,478,Mauritania,MRT,2,0,34.54
20,Breast,480,Mauritius,MUS,2,0,52.68
20,Breast,484,Mexico,MEX,2,0,39.94
20,Breast,496,Mongolia,MNG,2,0,12.63
20,Breast,498,Moldova,MDA,2,0,46.57
20,Breast,499,Montenegro,MNE,2,0,76.54
20,Breast,504,Morocco,MAR,2,0,58.37
20,Breast,508,Mozambique,MOZ,2,0,19.69
20,Breast,512,Oman,OMN,2,0,33.96
20,Breast,516,Namibia,NAM,2,0,53.93
20,Breast,524,Nepal,NPL,2,0,14.35
20,Breast,528,The Netherlands,NLD,2,0,101.6
20,Breast,540,New Caledonia,NCL,2,0,90.18
20,Breast,548,Vanuatu,VUT,2,0,29.6
20,Breast,554,New Zealand,NZL,2,0,94.36
20,Breast,558,Nicaragua,NIC,2,0,35.32
20,Breast,562,Niger,NER,2,0,29.46
20,Breast,566,Nigeria,NGA,2,0,51.5
20,Breast,578,Norway,NOR,2,0,95.56
20,Breast,586,Pakistan,PAK,2,0,34.23
20,Breast,591,Panama,PAN,2,0,41.39
20,Breast,598,Papua New Guinea,PNG,2,0,46.03
20,Breast,600,Paraguay,PRY,2,0,58.37
20,Breast,604,Peru,PER,2,0,39.3
20,Breast,608,Philippines,PHL,2,0,60.34
20,Breast,616,Poland,POL,2,0,65.96
20,Breast,620,Portugal,PRT,2,0,88.75
20,Breast,624,Guinea-Bissau,GNB,2,0,27.17
20,Breast,626,Timor-Leste,TLS,2,0,26.38
20,Breast,630,Puerto Rico,PRI,2,0,62.32
20,Breast,634,Qatar,QAT,2,0,39.03
20,Breast,638,"France, La Réunion",REU,2,0,55.94
20,Breast,642,Romania,ROU,2,0,69.22
20,Breast,643,Russian Federation,RUS,2,0,57.67
20,Breast,646,Rwanda,RWA,2,0,16.2
20,Breast,662,Saint Lucia,LCA,2,0,51.68
20,Breast,678,Sao Tome and Principe,STP,2,0,19.91
20,Breast,682,Saudi Arabia,SAU,2,0,25.28
20,Breast,686,Senegal,SEN,2,0,29.89
20,Breast,688,Serbia,SRB,2,0,60.5
20,Breast,694,Sierra Leone,SLE,2,0,7.02
20,Breast,702,Singapore,SGP,2,0,72.61
20,Breast,703,Slovakia,SVK,2,0,67.3
20,Breast,704,Viet Nam,VNM,2,0,37.96
20,Breast,705,Slovenia,SVN,2,0,82.27
20,Breast,706,Somalia,SOM,2,0,38.62
20,Breast,710,South Africa,ZAF,2,0,47.8
20,Breast,716,Zimbabwe,ZWE,2,0,35.84
20,Breast,724,Spain,ESP,2,0,80.96
20,Breast,728,South Sudan,SSD,2,0,27.99
20,Breast,729,Sudan,SDN,2,0,39.94
20,Breast,740,Suriname,SUR,2,0,46.38
20,Breast,748,Eswatini,SWZ,2,0,26.17
20,Breast,752,Sweden,SWE,2,0,81.41
20,Breast,756,Switzerland,CHE,2,0,77.42
20,Breast,760,Syrian Arab Republic,SYR,2,0,46.21
20,Breast,762,Tajikistan,TJK,2,0,19.47
20,Breast,764,Thailand,THA,2,0,37.44
20,Breast,768,Togo,TGO,2,0,32.93
20,Breast,780,Trinidad and Tobago,TTO,2,0,54
20,Breast,784,United Arab Emirates,ARE,2,0,57.05
20,Breast,788,Tunisia,TUN,2,0,36.16
20,Breast,792,Türkiye,TUR,2,0,46.77
20,Breast,795,Turkmenistan,TKM,2,0,31.13
20,Breast,800,Uganda,UGA,2,0,23.34
20,Breast,804,Ukraine,UKR,2,0,43.08
20,Breast,807,North Macedonia,MKD,2,0,65.28
20,Breast,818,Egypt,EGY,2,0,55.4
20,Breast,826,United Kingdom,GBR,2,0,94.03
20,Breast,834,"Tanzania, United Republic of",TZA,2,0,25.12
20,Breast,840,United States of America,USA,2,0,95.91
20,Breast,854,Burkina Faso,BFA,2,0,21.38
20,Breast,858,Uruguay,URY,2,0,75.05
20,Breast,860,Uzbekistan,UZB,2,0,27.79
20,Breast,862,Venezuela,VEN,2,0,47.1
20,Breast,882,Samoa,WSM,2,0,88.75
20,Breast,887,Yemen,YEM,2,0,25.35
20,Breast,894,Zambia,ZMB,2,0,22.32
