Cancer label,Code,Country,BOTH ASR (World) per 100 000,FEMALE ASR (World) per 100 000,MALE ASR (World) per 100 000
"Trachea, bronchus and lung",192,Cuba,29.75,22.35,38.29
"Trachea, bronchus and lung",196,Cyprus,27.04,14.61,41.35
"Trachea, bronchus and lung",203,Czechia,23.72,17.57,31.27
"Trachea, bronchus and lung",204,Benin,1.49,1.13,2.07
"Trachea, bronchus and lung",208,Denmark,34.21,34.4,34.27
"Trachea, bronchus and lung",214,Dominican Republic,12.81,10.82,15.07
"Trachea, bronchus and lung",218,Ecuador,6.29,6.04,6.62
"Trachea, bronchus and lung",222,El Salvador,4.66,4.28,5.21
"Trachea, bronchus and lung",226,Equatorial Guinea,2.72,2.47,2.91
"Trachea, bronchus and lung",231,Ethiopia,3.69,3.52,3.88
"Trachea, bronchus and lung",232,Eritrea,3.21,2.75,3.69
"Trachea, bronchus and lung",233,Estonia,25.84,12.62,45.02
"Trachea, bronchus and lung",242,Fiji,6.79,4.85,9.06
"Trachea, bronchus and lung",246,Finland,19.18,14.15,25.05
"Trachea, bronchus and lung",250,France (metropolitan),35.91,24.73,49.0
"Trachea, bronchus and lung",254,French Guyana,15.04,7.46,23.83
"Trachea, bronchus and lung",258,French Polynesia,39.96,22.59,57.39
"Trachea, bronchus and lung",262,Djibouti,3.08,2.47,3.6
"Trachea, bronchus and lung",266,Gabon,3.11,2.67,3.48
"Trachea, bronchus and lung",268,Georgia,21.98,4.43,45.93
"Trachea, bronchus and lung",270,The Republic of the Gambia,5.0,0.87,9.51
"Trachea, bronchus and lung",275,Gaza Strip and West Bank,20.42,6.59,35.83
"Trachea, bronchus and lung",276,Germany,28.13,21.97,35.23
"Trachea, bronchus and lung",288,Ghana,2.53,1.97,3.14
"Trachea, bronchus and lung",300,Greece,31.34,15.68,49.64
"Trachea, bronchus and lung",312,"France, Guadeloupe",12.28,7.17,18.71
"Trachea, bronchus and lung",316,Guam,31.52,19.14,45.48
"Trachea, bronchus and lung",320,Guatemala,3.76,3.18,4.5
"Trachea, bronchus and lung",324,Guinea,3.22,1.86,5.21
"Trachea, bronchus and lung",328,Guyana,4.26,2.39,6.43
"Trachea, bronchus and lung",332,Haiti,6.07,6.6,5.54
"Trachea, bronchus and lung",340,Honduras,6.68,4.89,8.8
"Trachea, bronchus and lung",348,Hungary,47.57,34.96,64.36
"Trachea, bronchus and lung",352,Iceland,26.9,27.78,26.07
"Trachea, bronchus and lung",356,India,5.79,3.18,8.46
"Trachea, bronchus and lung",360,Indonesia,13.38,6.39,21.3
"Trachea, bronchus and lung",364,"Iran, Islamic Republic of",12.1,7.39,16.73
"Trachea, bronchus and lung",368,Iraq,12.52,3.64,23.45
"Trachea, bronchus and lung",372,Ireland,31.39,30.41,32.61
"Trachea, bronchus and lung",376,Israel,22.6,16.13,29.91
"Trachea, bronchus and lung",380,Italy,24.64,16.21,34.54
"Trachea, bronchus and lung",384,Côte d'Ivoire,2.45,1.37,3.47
"Trachea, bronchus and lung",388,Jamaica,14.0,9.41,19.01
"Trachea, bronchus and lung",392,Japan,30.47,15.82,47.19
"Trachea, bronchus and lung",398,Kazakhstan,19.71,4.51,41.44
"Trachea, bronchus and lung",400,Jordan,14.34,5.1,24.11
"Trachea, bronchus and lung",404,Kenya,3.35,3.23,3.56
"Trachea, bronchus and lung",408,"Korea, Democratic People Republic of",38.42,29.8,50.11
"Trachea, bronchus and lung",410,"Korea, Republic of",26.21,16.38,38.58
"Trachea, bronchus and lung",414,Kuwait,6.4,4.32,7.65
"Trachea, bronchus and lung",417,Kyrgyzstan,14.13,5.74,26.26
"Trachea, bronchus and lung",418,Lao People's Democratic Republic,17.55,9.12,27.09
"Trachea, bronchus and lung",422,Lebanon,19.88,14.25,25.69
"Trachea, bronchus and lung",426,Lesotho,4.23,3.71,5.0
"Trachea, bronchus and lung",428,Latvia,23.51,9.2,45.7
"Trachea, bronchus and lung",430,Liberia,2.68,1.48,4.02
"Trachea, bronchus and lung",434,Libya,16.36,3.2,32.19
"Trachea, bronchus and lung",440,Lithuania,24.22,10.38,44.88
"Trachea, bronchus and lung",442,Luxembourg,25.69,21.03,31.56
"Trachea, bronchus and lung",450,Madagascar,2.08,1.49,2.8
"Trachea, bronchus and lung",454,Malawi,1.55,1.02,2.22
"Trachea, bronchus and lung",458,Malaysia,15.13,7.12,23.23
"Trachea, bronchus and lung",462,Maldives,12.39,5.9,18.13
"Trachea, bronchus and lung",466,Mali,3.16,2.01,4.54
"Trachea, bronchus and lung",470,Malta,19.19,11.92,27.72
"Trachea, bronchus and lung",474,"France, Martinique",9.0,6.05,12.74
"Trachea, bronchus and lung",478,Mauritania,1.93,1.19,2.81
"Trachea, bronchus and lung",480,Mauritius,8.42,5.34,12.2
"Trachea, bronchus and lung",484,Mexico,5.4,3.83,7.3
"Trachea, bronchus and lung",496,Mongolia,18.96,6.38,35.91
"Trachea, bronchus and lung",498,Moldova,22.34,7.14,42.81
"Trachea, bronchus and lung",499,Montenegro,36.71,17.24,58.77
"Trachea, bronchus and lung",504,Morocco,20.44,4.2,38.44
"Trachea, bronchus and lung",508,Mozambique,1.32,0.68,2.35
"Trachea, bronchus and lung",512,Oman,5.24,2.84,6.96
"Trachea, bronchus and lung",516,Namibia,5.75,4.12,8.28
"Trachea, bronchus and lung",524,Nepal,9.25,6.28,12.86
"Trachea, bronchus and lung",528,The Netherlands,34.93,33.89,36.5
"Trachea, bronchus and lung",540,New Caledonia,41.77,25.82,59.25
"Trachea, bronchus and lung",548,Vanuatu,7.7,3.44,11.79
"Trachea, bronchus and lung",554,New Zealand,27.29,22.17,33.13
"Trachea, bronchus and lung",558,Nicaragua,5.43,4.15,7.13
"Trachea, bronchus and lung",562,Niger,0.95,0.09,1.83
"Trachea, bronchus and lung",566,Nigeria,1.73,1.6,1.9
"Trachea, bronchus and lung",578,Norway,27.97,27.62,28.65
"Trachea, bronchus and lung",586,Pakistan,5.96,2.31,9.49
"Trachea, bronchus and lung",591,Panama,6.35,4.29,8.69
"Trachea, bronchus and lung",598,Papua New Guinea,10.66,7.91,13.63
"Trachea, bronchus and lung",600,Paraguay,12.72,4.45,21.4
"Trachea, bronchus and lung",604,Peru,6.76,6.74,6.87
"Trachea, bronchus and lung",608,Philippines,23.98,13.0,37.66
"Trachea, bronchus and lung",616,Poland,36.49,24.11,52.54
"Trachea, bronchus and lung",620,Portugal,23.88,13.3,36.85
"Trachea, bronchus and lung",624,Guinea-Bissau,2.12,1.36,3.11
"Trachea, bronchus and lung",626,Timor-Leste,10.15,5.97,14.7
"Trachea, bronchus and lung",630,Puerto Rico,10.23,6.76,14.86
"Trachea, bronchus and lung",634,Qatar,5.78,4.63,6.05
"Trachea, bronchus and lung",638,"France, La Réunion",21.81,9.18,36.34
"Trachea, bronchus and lung",642,Romania,30.27,14.57,49.25
"Trachea, bronchus and lung",643,Russian Federation,26.02,8.64,52.38
"Trachea, bronchus and lung",646,Rwanda,2.82,1.51,4.41
"Trachea, bronchus and lung",662,Saint Lucia,9.74,3.43,16.52
"Trachea, bronchus and lung",678,Sao Tome and Principe,12.7,9.53,15.98
"Trachea, bronchus and lung",682,Saudi Arabia,4.34,2.47,5.62
"Trachea, bronchus and lung",686,Senegal,2.65,1.52,4.17
"Trachea, bronchus and lung",688,Serbia,40.39,23.82,59.6
"Trachea, bronchus and lung",694,Sierra Leone,1.25,0.02,2.74
"Trachea, bronchus and lung",702,Singapore,24.31,15.86,33.22
"Trachea, bronchus and lung",703,Slovakia,22.63,12.3,36.52
"Trachea, bronchus and lung",704,Viet Nam,20.25,11.0,31.54
"Trachea, bronchus and lung",705,Slovenia,34.22,25.69,43.81
"Trachea, bronchus and lung",706,Somalia,3.5,3.13,3.89
"Trachea, bronchus and lung",710,South Africa,18.09,11.23,27.57
"Trachea, bronchus and lung",716,Zimbabwe,5.89,3.87,9.22
"Trachea, bronchus and lung",724,Spain,27.78,16.02,41.36
"Trachea, bronchus and lung",728,South Sudan,2.1,1.8,2.42
"Trachea, bronchus and lung",729,Sudan,2.52,1.93,3.14
"Trachea, bronchus and lung",740,Suriname,16.62,10.44,24.11
"Trachea, bronchus and lung",748,Eswatini,4.12,2.41,7.59
"Trachea, bronchus and lung",752,Sweden,17.39,19.06,15.75
"Trachea, bronchus and lung",756,Switzerland,24.07,20.57,27.93
"Trachea, bronchus and lung",760,Syrian Arab Republic,17.82,8.16,28.74
"Trachea, bronchus and lung",762,Tajikistan,5.35,3.81,7.05
"Trachea, bronchus and lung",764,Thailand,18.14,11.73,25.91
"Trachea, bronchus and lung",768,Togo,1.9,0.88,3.11
"Trachea, bronchus and lung",780,Trinidad and Tobago,11.66,5.12,19.16
"Trachea, bronchus and lung",784,United Arab Emirates,6.22,5.07,6.78
"Trachea, bronchus and lung",788,Tunisia,20.14,4.5,37.75
"Trachea, bronchus and lung",792,Türkiye,37.88,13.5,67.99
"Trachea, bronchus and lung",795,Turkmenistan,9.53,4.45,16.14
"Trachea, bronchus and lung",800,Uganda,3.0,2.61,3.45
"Trachea, bronchus and lung",804,Ukraine,20.57,6.25,41.71
"Trachea, bronchus and lung",807,North Macedonia,31.07,14.3,49.44
"Trachea, bronchus and lung",818,Egypt,8.8,4.35,13.93
"Trachea, bronchus and lung",826,United Kingdom,30.05,28.53,31.92
"Trachea, bronchus and lung",834,"Tanzania, United Republic of",2.48,2.25,2.75
"Trachea, bronchus and lung",840,United States of America,31.85,30.4,33.7
"Trachea, bronchus and lung",854,Burkina Faso,3.76,4.51,3.01
"Trachea, bronchus and lung",858,Uruguay,29.7,16.36,46.56
"Trachea, bronchus and lung",860,Uzbekistan,8.41,4.1,13.63
"Trachea, bronchus and lung",862,Venezuela,15.86,12.17,20.38
"Trachea, bronchus and lung",882,Samoa,33.34,18.88,49.63
"Trachea, bronchus and lung",887,Yemen,4.05,3.2,5.04
"Trachea, bronchus and lung",894,Zambia,3.03,2.24,4.57
